"","zOTU5","zOTU3","zOTU6","zOTU11","zOTU10","zOTU8","zOTU9","zOTU7","zOTU14","zOTU15","zOTU12","zOTU13","zOTU20","zOTU16","zOTU65","zOTU71","zOTU27","zOTU73","zOTU19","zOTU56","zOTU21","zOTU25","zOTU36","zOTU57","zOTU68","zOTU99","zOTU30","zOTU69","zOTU98","zOTU29","zOTU107","zOTU23","zOTU117","zOTU84","zOTU121","zOTU38","zOTU136","zOTU125","zOTU78","zOTU39","zOTU129","zOTU135","zOTU44","zOTU77","zOTU148","zOTU50","zOTU149","zOTU42","zOTU116","zOTU49","zOTU95","zOTU146","zOTU54","zOTU58","zOTU76","zOTU88","zOTU40","zOTU43","zOTU62","zOTU55","zOTU70","zOTU130","zOTU33","zOTU132","zOTU59","zOTU192","zOTU91","zOTU41","zOTU213","zOTU163","zOTU242","zOTU156","zOTU75","zOTU61","zOTU128","zOTU234","zOTU207","zOTU170","zOTU249","zOTU236","zOTU229","zOTU208","zOTU72","zOTU277","zOTU350","zOTU123","zOTU187","zOTU183","zOTU318","zOTU245","zOTU201","zOTU301","zOTU355","zOTU166","zOTU230","zOTU46","zOTU335","zOTU316","zOTU63","zOTU293"
"season",0.0938697859224617,0.0126006241576797,0.0133681581789675,0.0180623662009979,0.237754684986932,0.0240195990933395,0.264319911081048,0.0608052835222884,0.0074090652232497,0.0714704695749092,0.272361878139416,0.230230722186622,0.0369309901099623,0.105649140516251,0.0218746018252477,0.0754050990718317,0.0118027638385739,0.00535202717346392,0.0213252605522243,0.197416152116544,0.0521418019174556,0.194399225552972,0.136763492513613,0.148017922187169,0.0445629881215953,0.114346078681734,0.0201327229976125,0.205069629870161,0.124599457106425,0.0132191406847025,0.113712654338559,0.0080294524848788,0.0198231570788413,0.127454684095683,0.0376118008284615,0.0154157950820077,0.127347069323407,0.0286066643149304,0.0166123648698816,0.0150448898219776,0.0243987219738177,0.0747040797195459,0.0338359154056239,0.183211076799555,0.0915684328206128,0.02914667869854,0.0208663592608523,0.0847077099726012,0.11078812393566,0.0237807570109376,0.0438530391575254,0.0269851271398439,0.166041144924225,0.0291619718678453,0.127018327176356,0.0663573658253457,0.117363833677141,0.148376786859195,0.0883136234954704,0.119216960018149,0.200134831444156,0.214333153824635,0.0573774831226257,0.0969404250469591,0.0685301485519165,0.052015829742202,0.03127579248078,0.0292940700757321,0.106484191596921,0.0074535474701701,0.187192495865407,0.355978960048454,0.0330703513064012,0.0142314670118369,0.222725494367662,0.0697887297269049,0.0743920513015212,0.0145767927731439,0.236648415450092,0.0489390168922949,0.0557813884461771,0.255270609776023,0.106771796997716,0.0706427506508715,0.0346621565394697,0.0299690478708489,0.00669524682011135,0.0304866623684714,0.134034285738363,0.0813243006494432,0.0464376343920822,0.298146147236268,0.113693574916044,0.0120019884351148,0.142645477142079,0.0890186739546562,0.172941548747995,0.0677047027191355,0.132130233139573,0.0976881090470952
"sex",0.130041264890063,0.323702310169385,0.194114025325283,0.157662641655739,0.368380647171779,0.0780503589113708,0.164447120272849,0.21117255948028,0.344715863058776,0.129362488076821,0.0598994876301023,0.283035537758402,0.133867312918005,0.053389128960745,0.0458574642498021,0.0203649860892186,0.0835215550035954,0.0303596525598135,0.0941518129095155,0.0919000012213962,0.110269976379073,0.276040242244684,0.196737344965592,0.0918855582035411,0.108685357247222,0.0502814800363317,0.155081205134949,0.123837263304411,0.0822885006035013,0.492759211735003,0.0494656214595996,0.128027987741385,0.0440826279978373,0.0897996300320066,0.0557457283762434,0.00840288864925907,0.0262420909533504,0.0202597310069638,0.0894728682060831,0.0529498129445349,0.0678597540568914,0.0357734069782528,0.131322131039214,0.189079507017462,0.0213901838731199,0.140106071350218,0.0392498021644813,0.0844143530667981,0.166541725378256,0.031246851232992,0.248120290381151,0.0986015880049337,0.304090217416891,0.0930719016377773,0.312409488626962,0.196972116742746,0.201730200255073,0.11872703172387,0.0780994935346799,0.0680844936403212,0.284569104181198,0.157647063590179,0.147053316158295,0.268937275402425,0.276037085051009,0.0700847713766236,0.110544708723475,0.114223766331097,0.105940443813163,0.194899339564517,0.0854527884964217,0.1211126673908,0.147918250694853,0.0261744449620212,0.128154292615851,0.0679368764157704,0.208871930692652,0.172174096519571,0.0796540190362398,0.123007441158499,0.0510498013370735,0.0248988933216952,0.22606033163598,0.14044811976223,0.0495484428133954,0.0886953084665139,0.0543132269483438,0.0619995150668827,0.0399937598013959,0.0943887717275354,0.199897994319606,0.0662207270555752,0.078094491618865,0.139132573768939,0.0806203480249767,0.116697913814045,0.101210575712589,0.13100276417205,0.117507273064084,0.070634328191462
"Random: insect.individual",0.0671591005516926,0.0523259475328127,0.0931773264574911,0.043781999116984,0.151210637216749,0.0640383951226732,0.491255873348139,0.191694690689847,0.345684342318462,0.653664927187131,0.126396933134243,0.155221309239381,0.332594584716479,0.0880955465409518,0.743844045603936,0.655628946001282,0.699699424278022,0.6609591631661,0.712347452108477,0.531298491879156,0.0543984483245902,0.430644441408241,0.481529701889267,0.66549480058998,0.765757238879545,0.711213380489784,0.587716155826539,0.399059949264011,0.523135483986184,0.359379376656103,0.707710234068531,0.733099112622881,0.787738678027201,0.14348772166874,0.80243368432406,0.137206752471268,0.639687127161866,0.794747109780688,0.57535925061548,0.0822931594513546,0.799515272365101,0.805884151197049,0.632583396330377,0.547650926900444,0.691838798207291,0.70028996087643,0.607239095752227,0.0801457469159545,0.517077995958097,0.0238959790914322,0.429017628119684,0.718546670926082,0.270783061602559,0.676919296727676,0.361200130029948,0.533130048805419,0.291278391192531,0.464192048492708,0.242631857579087,0.499565849368788,0.161576742925464,0.544328945880266,0.306417609214695,0.190962447360187,0.403737342330714,0.465543283669769,0.595224683590093,0.460157938544413,0.480755834504263,0.698369917565297,0.53448588128767,0.398510384813198,0.367953106310187,0.282377640117244,0.322260936065351,0.761000048206241,0.536801381645035,0.706333280930727,0.4726025812627,0.506655473969761,0.66991461274167,0.6182638503144,0.393963632919754,0.72465561203075,0.684618128810062,0.710198245033498,0.77194095897769,0.695453262164533,0.695102449073148,0.694053607263563,0.661590128062422,0.2182585614455,0.462998781927294,0.666305949188787,0.651282170295398,0.251788181368564,0.534971030323144,0.664357135567588,0.538293124284341,0.633823750193774
"Random: site",0.0257345771576636,0.0306494879118927,0.0246388785496543,0.0706312142220795,0.0273358635982561,0.0191064310937274,0.0184274995237817,0.0107625911771115,0.0501854367496264,0.0467263366994133,0.0875246655108137,0.0572581040451579,0.0269295555228743,0.117369032467982,0.0898858506332039,0.179998618101218,0.0588147316185774,0.178906611036392,0.0458993531677896,0.0274590893845425,0.0544126198259648,0.0209807668406125,0.021286155703372,0.0322036760498445,0.00876096343216913,0.0649247202004821,0.0659280459719916,0.03663295980417,0.139033743909584,0.0392377885593435,0.0872907643176408,0.0492621043499822,0.0879043780497775,0.573735016205478,0.0435922489836842,0.0270081559578621,0.184446831213127,0.128157992139974,0.0480685617856121,0.0407793227491315,0.00687434826671648,0.0440852333377998,0.0239713342062536,0.0419021233895992,0.0947658486201879,0.0338995037473663,0.18568105325312,0.0921663539351687,0.0334914988458194,0.0637993357402569,0.151112669833427,0.0403490788231344,0.0852497692192806,0.0318004923586378,0.0474385454136578,0.0138496654521176,0.100496079516329,0.108507117390365,0.549679582583386,0.221202515122011,0.106835548053984,0.0152185804021487,0.0347579099752507,0.231990921678349,0.0600946972061897,0.00849365645598397,0.0199696042396212,0.299788621146232,0.106179663555914,0.0621936446442604,0.105894803622544,0.0518872234987258,0.178523756653683,0.047919108526351,0.202246938746284,0.0686571966721941,0.0612444762101391,0.0579362155561313,0.156612064995753,0.232220075657417,0.0971141261836483,0.0440106161176661,0.0263567066612696,0.0160191977582702,0.132028805422272,0.0677512230458392,0.0841558445110478,0.11955999110208,0.0393310565856257,0.0891998728045264,0.0308942784087347,0.250678990004601,0.241655375452622,0.0638118142535272,0.0411140896269253,0.0724815746143914,0.0514423521550994,0.0817237814388038,0.0472340619504827,0.0713824756948439
"Random: insect.sp",0.150739452231605,0.483946244577611,0.219962662438484,0.159828247643034,0.165531941051806,0.488586638042729,0.0221779227298346,0.474953210248787,0.199259515641342,0.0850917890977569,0.155462956434513,0.081202282005822,0.417565577307665,0.345509174004365,0.0877659902431292,0.00978071690461851,0.125209284581457,0.0994863179340672,0.107864889445889,0.07979506574517,0.123335229397331,0.0300785584855918,0.117145710860671,0.0173708452133465,0.0109637550736274,0.0446922308273344,0.148496021705038,0.180488250002908,0.0787369794779313,0.0654988401134739,0.0194689861950964,0.064234605636949,0.0516867036054813,0.0278340768190747,0.0141120200368603,0.363372566762324,0.00905857621675456,0.0104136302081236,0.150835015499668,0.618694286517802,0.0131014067227222,0.0100039843837496,0.140989608797558,0.0197254894529054,0.0235766598275773,0.083305583828798,0.0745213834949551,0.202546595005247,0.138101964945522,0.404573146125191,0.0611107385195846,0.0443910227666868,0.0949541494627269,0.152089331857589,0.0644292145677463,0.163163108203394,0.15338648512712,0.105890986248383,0.0155373615582844,0.0405086257158947,0.12712675068728,0.0436531369348195,0.384047780044247,0.0879005226044108,0.0770661641075304,0.335775743801402,0.166343653974131,0.0718105403307439,0.0896247042072221,0.0252270888323091,0.0114537972353132,0.0322615808257882,0.148061849499413,0.196115129941799,0.0706059692789694,0.0137187885552729,0.0765580947100696,0.0223126637479176,0.0353605161091103,0.0588443389479835,0.105280515167629,0.0296215615680264,0.20556752201156,0.0295907020166304,0.0654240158382567,0.0872487828457949,0.0211851146978999,0.0290343584580748,0.0298809457155796,0.022277026311086,0.0328615435207219,0.0807542468373042,0.0499648812323696,0.0191132375280711,0.0314216880513819,0.0984913144374397,0.0819184103792913,0.0271978391594338,0.129707271171111,0.0951436948028305
"Random: insect.gt",0.532455819246514,0.096775385650619,0.45473894905012,0.550033531161166,0.0497862259744782,0.326198577736161,0.039371673044348,0.0506116648816856,0.0527457770085446,0.0136839893639684,0.298354079150912,0.193052044764616,0.052111979425014,0.289987977509704,0.0107720474446818,0.0588216338318307,0.0209522406797758,0.0249362281301632,0.0184112318161057,0.0721311996531918,0.605441924155585,0.047856765467898,0.0465375940674846,0.0450271977561183,0.0612696972458412,0.0145421097643341,0.0226458483638687,0.0549119477543392,0.052205834916374,0.029905642251374,0.0223517396205716,0.0173467371639249,0.0087644552408613,0.0376888711790175,0.0465045174506902,0.44859384107728,0.0132183051314947,0.0178148725493189,0.119651939023274,0.1902385285152,0.0882504966147516,0.0295491443836021,0.0372976142209732,0.0184308764400341,0.0768600766512111,0.0132522014986486,0.0724423060743634,0.456019241104232,0.0339986909366451,0.452703930799191,0.066785633988628,0.0711265123393199,0.0788816573743177,0.0169570055504745,0.0875042941853298,0.0265276949709781,0.135745010231807,0.0543060292854783,0.025738081249092,0.0514215561348361,0.119757022707918,0.0248191193679507,0.0703459014848866,0.123268407907669,0.11453456275264,0.0680867149540189,0.0766415569918996,0.0247250635717818,0.111015162322517,0.0118564619234453,0.0755202334926439,0.0402491834230336,0.124472685535463,0.433182209440747,0.0540063689258833,0.0188983604236187,0.0421320654405824,0.02666695047251,0.0191224031461052,0.0303336533740447,0.0208595561238021,0.0279344689021883,0.0412800097737222,0.0186436177812479,0.0337184505765453,0.0161373927375049,0.061709608044905,0.0634662108399586,0.0616575030858871,0.0187564212438467,0.0283184212964341,0.0859413274207514,0.0535928948528057,0.0996344368255618,0.0529162268592381,0.371522341810904,0.0575160826818818,0.028013776942989,0.0351280363904081,0.0313276420699942
"R2",0.792588012295523,0.815222815243745,0.808338429454182,0.853805052860629,0.298431170005736,0.749706412004632,0.249261249676338,0.870411240343927,0.408051788821129,0.532309734781789,0.469692134085524,0.563531051913089,0.858659606157156,0.937102871551289,0.76320196733064,0.501182493019118,0.739211960394294,0.613763084679484,0.549416595293327,0.304836403293635,0.871004763752943,0.250370941746754,0.357134716405689,0.332823479374396,0.37233595314018,0.516910978074208,0.516136206877784,0.34600376265857,0.386124966142586,0.391628425717965,0.656883674283278,0.686101372076513,0.46180608733262,0.185808395777499,0.597121965368189,0.970720903879156,0.652608597701804,0.521034451359587,0.509862532629871,0.975568321783852,0.602272230524664,0.506621918706024,0.367865836034252,0.46926410866638,0.488704402588071,0.72268416258605,0.664598806852611,0.811983570567363,0.365688466913787,0.998334956332415,0.264431681273331,0.630864213436128,0.6742964177733,0.647433219746535,0.431282813871363,0.439087125596867,0.930995173519689,0.392017049636899,0.378639212082244,0.23717344792137,0.219602890291751,0.4029923148225,0.5101994562832,0.0937758768489025,0.377936046398287,0.616323657543609,0.562696823869491,0.582085537059967,0.448952366015658,0.454021508972328,0.616282299418365,0.421516494609036,0.498935161180106,0.967313349544857,0.280691051221502,0.456722849495845,0.420478488521349,0.441157386422503,0.560038800416005,0.579239630063354,0.620731010112892,0.374270244511428,0.378504262326118,0.479306498632299,0.450697122743014,0.872073618564451,0.528541113332767,0.352878357528083,0.472672166840989,0.528983875802102,0.384259478328028,0.15565133513367,0.334805191048094,0.494890425548277,0.545903482205064,0.957659557182611,0.257409361714744,0.389428824137019,0.658314016693586,0.487908392602244
