"","zOTU5","zOTU3","zOTU6","zOTU11","zOTU10","zOTU8","zOTU9","zOTU7","zOTU14","zOTU15","zOTU12","zOTU13","zOTU20","zOTU16","zOTU65","zOTU71","zOTU27","zOTU73","zOTU19","zOTU56","zOTU21","zOTU25","zOTU36","zOTU57","zOTU68","zOTU99","zOTU30","zOTU69","zOTU98","zOTU29","zOTU107","zOTU23","zOTU117","zOTU84","zOTU121","zOTU38","zOTU136","zOTU125","zOTU78","zOTU39","zOTU129","zOTU135","zOTU44","zOTU77","zOTU148","zOTU50","zOTU149","zOTU42","zOTU116","zOTU49","zOTU95","zOTU146","zOTU54","zOTU58","zOTU76","zOTU88","zOTU40","zOTU43","zOTU62","zOTU55","zOTU70","zOTU130","zOTU33","zOTU132","zOTU59","zOTU192","zOTU91","zOTU41","zOTU213","zOTU163","zOTU242","zOTU156","zOTU75","zOTU61","zOTU128","zOTU234","zOTU207","zOTU170","zOTU249","zOTU236","zOTU229","zOTU208","zOTU72","zOTU277","zOTU350","zOTU123","zOTU187","zOTU183","zOTU318","zOTU245","zOTU201","zOTU301","zOTU355","zOTU166","zOTU230","zOTU46","zOTU335","zOTU316","zOTU63","zOTU293"
"season",0.0119823439109025,0.0585295704646329,0.0783048048055549,0.057511933545589,0.0108518775389477,0.0966614987387611,0.107838742712087,0.148294963815741,0.286953580732197,0.00931926831735788,0.0296333610439913,0.0585786040539755,0.547930488371743,0.144424343933738,0.169765917368541,0.200617049371488,0.238668311965671,0.118180936923754,0.124899230483236,0.0170969957373217,0.0888725303792296,0.0149621301560729,0.425831961622408,0.178418004485573,0.0552424072118933,0.00423354987287759,0.378376196387991,0.695807718649436,0.0451650117413746,0.119289676097281,0.10007515922332,0.500831272250677,0.219826473195624,0.639963146467936,0.144769137224368,0.23969408573984,0.0609055930177339,0.125543194208153,0.0337219046184349,0.177529620607213,0.202785932061834,0.0978715338436182,0.415862579324785,0.0365982601297555,0.106912758045074,0.244498861687662,0.0402843103073297,0.223934466793687,0.214131853005344,0.0781065704225792,0.355294339205101,0.190616150242085,0.130422777863439,0.0243952459958264,0.447883584172028,0.187312409084086,0.193418055494664,0.263871107737344,0.0471180591934435,0.0517791924284301,0.218567957254661,0.0313407271951187,0.145775524431648,0.175546293824195,0.0549188037621246,0.0549824285336424,0.370466081372709,0.427902624287624,0.0456506962072098,0.238457489673085,0.0228576809213681,0.112267845256673,0.457169478376281,0.0406942835587614,0.0606316028194817,0.116257340510263,0.0523676397943067,0.364296131273998,0.124255735554509,0.0242471130774088,0.00620015114514532,0.0317806812159334,0.255131709298604,0.0350511193925471,0.146701148029681,0.162502739663294,0.199823549847926,0.258986889114537,0.0492307418760169,0.0512111713404652,0.23919332218673,0.0540427225732941,0.0734249823119147,0.0380245083629553,0.00739384916075486,0.052016226862257,0.124347284345579,0.13180067198043,0.128228996149776,0.00825266589239207
"sex",0.0779238278117371,0.121786732118723,0.1423949966043,0.0298771594897206,0.0945520305784578,0.0639151999206908,0.0333590632211318,0.00938227607801779,0.137546569779209,0.0886628320318462,0.0228258415466672,0.0859519483940361,0.130194087729294,0.00666825690483647,0.00285548759260926,0.0106207883309221,0.00365913022187291,0.00302506406950022,0.0918568387668997,0.00940829270765956,0.10457063853868,0.0317883393100188,0.0955742300192726,0.0151360573793971,0.00622663431755159,0.00390298603147691,0.025480650721599,0.00347566470745567,0.00348914138869866,0.373045997778931,0.00518476178507864,0.114616123751221,0.0212647704028989,0.00137885160576471,0.00425489611455585,0.012041313317187,0.00910947379610744,0.013787997662886,0.0128757081814734,0.0241978501475302,0.00424829448731431,0.0037116574424042,0.0249040715154813,0.0482172470047716,0.00300430581218791,0.0451394830583624,0.00363837295919823,0.248783391797932,0.107125619068443,0.0614368437200908,0.00905452528559184,0.00854909635943699,0.033210086549611,0.0142896496322938,0.022127109375568,0.0228993492750769,0.201265855521126,0.0302714997313273,0.157682787425448,0.0317785754167991,0.101296364021722,0.00866834280912869,0.0516439149648549,0.0688766861607883,0.15997450923584,0.0107818729243953,0.0297453426613994,0.115349503017917,0.0291515213705633,0.0355318721938473,0.0079613616630184,0.0792563831779252,0.0798098016068622,0.0291497839461713,0.0582282048433655,0.00391617200631329,0.00622517721989506,0.00632546721278472,0.0206320008426418,0.00662962563879846,0.00833628071069153,0.0110407337486551,0.0603766331385999,0.0311679249660209,0.0846252445824641,0.0478874105960877,0.00288528135389632,0.0242677085535056,0.00962038874708856,0.0048505330435625,0.022648828501927,0.150448163779956,0.068530469009187,0.0290796782778421,0.00423512314411975,0.0523302639124302,0.00680935991360346,0.023920374653034,0.0153608758717494,0.0136483061546733
"Random: insect.individual",0.00947820213297676,0.00759297180215927,0.0195638513263275,0.00720770554268795,0.275547823358948,0.0142111914970766,0.0551583912643816,0.0306839508193986,0.135375086201057,0.567607490361424,0.0549423587500867,0.013541260250355,0.017029284721867,0.0254045856306369,0.471896463540595,0.62729698719436,0.444543872813173,0.295408453289821,0.198855469411856,0.394297239141573,0.0318030665869287,0.134202036677809,0.0293528445692967,0.308365241668202,0.651834881293551,0.681117180943789,0.207334023721223,0.0204685036670347,0.4312302855458,0.186547684728176,0.66415046242825,0.175288144651782,0.332373803169871,0.0120589261128292,0.700612450032331,0.0278138288389485,0.430235743570994,0.237325605061634,0.49133562856802,0.0365669952603565,0.619326137430367,0.660097589990211,0.182578664935937,0.554270654438165,0.629600807293588,0.364655707783211,0.286996951683727,0.0809751949147059,0.283298006275953,0.0632317080622255,0.0150065646427103,0.680699693164293,0.0416219277583181,0.734841976702598,0.129573258641566,0.35740952462953,0.083747332046231,0.526487030485982,0.494997741402988,0.24811318043675,0.0679834033753874,0.603663014552191,0.0602292645057132,0.0204407543511549,0.24410632708419,0.0772608010229627,0.279484176929382,0.155688992900383,0.169717461072832,0.567207429001941,0.582423665148437,0.0575048042835853,0.162675335165318,0.0338188990855988,0.289486099150616,0.754496038981572,0.112265128175523,0.362758218225172,0.136260016671014,0.290070958303724,0.126155954922417,0.733365633877686,0.317478076536721,0.441227395168942,0.168242882100367,0.285327240096829,0.675412239078756,0.332096004140758,0.202523829105602,0.193256839873933,0.424180916160567,0.116970030067663,0.127372162473793,0.580617956550696,0.529071050693835,0.094240882309632,0.472790467822449,0.199147779277879,0.188272715364862,0.167341724751894
"Random: site",0.12506407824534,0.202806889427746,0.305443599472398,0.0611132248392409,0.132121154543936,0.0731814485039049,0.636052983905043,0.208981801243257,0.0945741177808333,0.0744585145489788,0.452216716457728,0.791103907638563,0.0907571278086968,0.437394615333176,0.154769931576159,0.0906756182805252,0.0756983816421365,0.248625163691034,0.30373768005932,0.51198910302028,0.101083019626982,0.10763272406333,0.160291527338529,0.356032863505885,0.234273736541967,0.125065690849669,0.0424789707454411,0.213483820398362,0.202731718447251,0.042839468753043,0.104565639277849,0.0900862061079925,0.215690747070386,0.337006561947113,0.120771639091849,0.175295629732091,0.378144718709406,0.612299776980412,0.411221408340686,0.433581457490631,0.136047763243654,0.0711732178958373,0.270717102572096,0.250514988771662,0.125135096739373,0.0838966281465215,0.22509607218889,0.145914644309287,0.263289197689862,0.29655825416168,0.490084016669259,0.044161134468174,0.72467180970859,0.102687174397201,0.363813893249851,0.201323334024835,0.364616945952096,0.0472477249714885,0.169129044307336,0.414866933481664,0.422656249573018,0.317224007109105,0.608846758905976,0.619991127929932,0.360569980336943,0.229905819771241,0.133228369763135,0.053103248748283,0.311163958348,0.119329722654915,0.307060353030836,0.691156316585378,0.0532059926346833,0.374989330458718,0.364648827613512,0.0555456022114866,0.0421385349891475,0.127862413727691,0.68024585529897,0.436636516436927,0.348463415484553,0.0221017722155258,0.0815342322540887,0.132563880008496,0.270037400848406,0.227295046183312,0.0769241915099778,0.188109587992795,0.358539120342023,0.0862031228999606,0.0242234470365517,0.420839412708891,0.354985432038361,0.307729765362468,0.344852071547971,0.628771918825972,0.31503228275637,0.0537529081213011,0.593687216056298,0.284303672036729
"Random: insect.sp",0.418502211615409,0.270766391825692,0.250371532531725,0.389575995131325,0.0250671175372436,0.658933006288287,0.0171905168844313,0.213928063814149,0.0700997325027349,0.0187003431035475,0.105050525850462,0.0194337466245429,0.111462631662595,0.357584054540573,0.182114477365225,0.0129010282111497,0.0226535429107387,0.309361260912091,0.0484838903359038,0.014681982520767,0.339424997097485,0.0632946715531736,0.0314987126093189,0.0536679380002772,0.00923110397473587,0.162738880999968,0.0306713698675998,0.0379638665788124,0.258807942156622,0.0600550855312093,0.026857434701302,0.0559910375500028,0.190398856049734,0.00340039988079427,0.00858096598979159,0.0296092299382799,0.0567981690906096,0.00453265071288428,0.0430471721926937,0.130133586565399,0.0101083011840171,0.0173947575504039,0.0758411564924842,0.0343299637017403,0.00803965899093362,0.01829986065368,0.421884824972509,0.186848419724077,0.0276600341848979,0.342725192464514,0.0301687210587616,0.058281428151609,0.0338404824264286,0.0257989089657414,0.0153855418326786,0.193894499173971,0.0917890104644355,0.0287567670718803,0.101907214344154,0.056818430899665,0.0299428422621882,0.00979459540700117,0.0442499843771718,0.0154264565520346,0.155228582436369,0.494050747146341,0.0546742371143113,0.0893653012907028,0.383055018632007,0.021690350179267,0.00734073488612695,0.0121270911524866,0.107157954601551,0.127361161360824,0.145258726626438,0.0225607451769916,0.656069464786898,0.0478928872635657,0.0190306122162808,0.2141069948319,0.462428147104466,0.041556847055503,0.111838395177905,0.279641220619655,0.153892364393394,0.0355404057672105,0.0154185761795146,0.0733534146636342,0.250995436779936,0.612428235416414,0.257772898713512,0.165209822554352,0.136121106030671,0.0120628114213915,0.106868254307047,0.0648557106641464,0.0373734387292072,0.497092239868904,0.012775435740553,0.480626451012843
"Random: insect.gt",0.357049336283634,0.338517444361047,0.203921215259695,0.454713981451437,0.461859996442468,0.0930976550512798,0.150400302012924,0.388728944229436,0.275450913003969,0.241251551636845,0.335331196351065,0.0313905330385263,0.102626379705805,0.0285241436570392,0.0185977225568697,0.0578885286115546,0.214776760446408,0.0253991211137996,0.232166890942786,0.052526386872399,0.334245747770694,0.648120098239596,0.257450723841174,0.0883798949606659,0.0431912366603019,0.0229417113022195,0.315658788556146,0.0288004259989002,0.0585759007202521,0.218222087111359,0.0991665425841996,0.0631872156883247,0.020445350111487,0.00619211398556248,0.0210109115471045,0.515545912433654,0.0648063018151491,0.00651077537403074,0.00779817809869142,0.197990489928871,0.0274835715928134,0.149751243277526,0.0300964251592164,0.0760688859539056,0.127307373118845,0.243509458670563,0.022099467888346,0.11354388246031,0.104495289775498,0.157941431168911,0.100391833138575,0.0176924976144008,0.0362329156936146,0.0979870443063401,0.0212166127283101,0.0371608838125021,0.0651628005214476,0.103365870001976,0.0291651533266319,0.196643687336692,0.159553183513023,0.0293093129274559,0.0892545528146347,0.0997186811818942,0.0252017971445325,0.133018330601418,0.132401792159063,0.15859032975509,0.0612613443693881,0.0177831362969445,0.0723562043502128,0.0476875595439514,0.139981437615304,0.393986541589926,0.0817465389465874,0.0472241011133736,0.13093405503423,0.090864882296789,0.019575779416584,0.0283087917112409,0.0484160506327274,0.160154331886696,0.173640953594081,0.0803484598443392,0.176500960045689,0.241447157693267,0.0295361620299292,0.12318639553477,0.129090483149333,0.0520500974256643,0.0319805874007125,0.0924898483158439,0.239565848136072,0.0324852800246469,0.00757965114627225,0.107784997425562,0.0436471664327906,0.0942860260984518,0.0616747608167595,0.0458271801514691
"TjurR2",0.414085728149894,0.271873900694816,0.419405021650248,0.626284037617704,0.130460501997215,0.282671195880824,0.249918655582445,0.181163594987273,0.241447665129262,0.162735090186041,0.0233794458956453,0.186542436652336,0.180524129837335,0.270058400125501,0.328984183074883,0.266861229187882,0.219154104581624,0.376748889877224,0.173257377913604,0.120567868150924,0.0685582865581156,0.112817250759784,0.190200980489495,0.129936114673755,0.178998757219434,0.27910916450011,0.153822214668675,0.245971683430004,0.232492433490547,0.109290589895446,0.201622632499819,0.170296054691804,0.239407735073345,0.312005977084489,0.178012876023525,0.186127415392068,0.215178001092041,0.277250335476664,0.362599559570292,0.0814685230484956,0.235256979813492,0.287376679368293,0.103429076372886,0.141501256952147,0.259555475427272,0.163721199927398,0.315649988022514,0.0256983805577099,0.055202224849987,0.0414618883659121,0.0737686371146555,0.20401211740861,0.0361474257382368,0.166669132580389,0.0840828258795783,0.255594473718945,0.0358273590043964,0.165959357882678,0.0981242934224588,0.0176513292953776,0.0695699975995417,0.138355448958138,0.075807201961698,0.235501807921253,0.17699856298281,0.207560274040494,0.155176778553199,0.214086151013151,0.189026713753022,0.208950579076859,0.19024914617861,0.100223724585343,0.250417020409184,0.177105423443089,0.0374840809280275,0.194958822446642,0.188923819653519,0.185436565279602,0.221254483534734,0.326296489698632,0.146105830742391,0.145935376086799,0.138138325335562,0.1448952534341,0.00344329134389652,0.0841374558619058,0.283508270511618,0.243310529594984,0.0930375383070388,0.205052400108808,0.183486538955831,0.0143238107584058,0.0100860804283347,0.283441422190419,0.294886654731523,0.00952535059871361,0.214882234887648,0.148529374318699,0.145340957074758,0.166865669365189
